command,intent
What time is it?,get_time
Can you tell me the time?,get_time
Current time please,get_time
Tell me the time,get_time
Whatâ€™s the current hour?,get_time
Time now,get_time
Could you give me the time?,get_time
Do you know the time?,get_time
Time check,get_time
Show me the current time,get_time
I want to know the time,get_time
Give me the time now,get_time
Search Google for Python tutorials,search_google
Look up machine learning,search_google
Find AI articles on Google,search_google
Google best restaurants near me,search_google
Search Google for Jarvis projects,search_google
Find information about space on Google,search_google
Look up weather today,search_google
Google trending news,search_google
Search for stock prices on Google,search_google
Find nearby cafes,search_google
Google news about technology,search_google
Search Google for recipes,search_google
Play music on YouTube,search_youtube
Search YouTube for cat videos,search_youtube
Find Python tutorials on YouTube,search_youtube
Play cooking videos on YouTube,search_youtube
Search YouTube for gaming videos,search_youtube
Look up JavaScript tutorials on YouTube,search_youtube
Play trending videos on YouTube,search_youtube
Find motivational speeches on YouTube,search_youtube
Search YouTube for workout videos,search_youtube
Play piano tutorials on YouTube,search_youtube
Look up movie trailers on YouTube,search_youtube
Search YouTube for meditation videos,search_youtube
Open Notepad,open_notepad
Start Notepad,open_notepad
Launch Notepad,open_notepad
Open a new Notepad file,open_notepad
I want to write something in Notepad,open_notepad
Notepad please,open_notepad
Can you open Notepad?,open_notepad
Launch the Notepad app,open_notepad
Start a Notepad session,open_notepad
Open Notepad editor,open_notepad
Notepad text editor,open_notepad
Open Notepad program,open_notepad
Open Calculator,open_calculator
Launch Calculator,open_calculator
Start Calculator,open_calculator
I want to use Calculator,open_calculator
Calculator please,open_calculator
Can you open Calculator?,open_calculator
Open the Calculator app,open_calculator
Start a new Calculator session,open_calculator
Calculator program,open_calculator
Launch the Calculator tool,open_calculator
Open my Calculator,open_calculator
Use Calculator,open_calculator
Open WhatsApp,open_whatsapp
Launch WhatsApp,open_whatsapp
Start WhatsApp,open_whatsapp
I want to check WhatsApp,open_whatsapp
Open WhatsApp messenger,open_whatsapp
WhatsApp please,open_whatsapp
Can you open WhatsApp?,open_whatsapp
Start the WhatsApp app,open_whatsapp
Launch WhatsApp program,open_whatsapp
Open my WhatsApp,open_whatsapp
Open WhatsApp chat,open_whatsapp
Start WhatsApp messenger,open_whatsapp
Open LinkedIn,open_linkedin
Launch LinkedIn,open_linkedin
Start LinkedIn,open_linkedin
I want to check LinkedIn,open_linkedin
Open LinkedIn website,open_linkedin
LinkedIn please,open_linkedin
Can you open LinkedIn?,open_linkedin
Start the LinkedIn app,open_linkedin
Open my LinkedIn profile,open_linkedin
Launch LinkedIn program,open_linkedin
Check LinkedIn updates,open_linkedin
Open LinkedIn page,open_linkedin
Open GitHub,open_github
Launch GitHub,open_github
Start GitHub,open_github
I want to check GitHub,open_github
Open GitHub repository,open_github
GitHub please,open_github
Can you open GitHub?,open_github
Start the GitHub app,open_github
Open my GitHub profile,open_github
Launch GitHub program,open_github
Check GitHub updates,open_github
Open GitHub page,open_github
Open Spotify,open_spotify
Launch Spotify,open_spotify
Start Spotify,open_spotify
I want to listen on Spotify,open_spotify
Play music on Spotify,open_spotify
Spotify please,open_spotify
Can you open Spotify?,open_spotify
Start the Spotify app,open_spotify
Open my Spotify playlists,open_spotify
Launch Spotify program,open_spotify
Play songs on Spotify,open_spotify
Open Spotify music,open_spotify
